Ensembl Gene ID,Illumina Mouse Ref 8 V2 probe
ENSMUSG00000064372,
ENSMUSG00000064371,
ENSMUSG00000064370,
ENSMUSG00000064369,
ENSMUSG00000064368,
ENSMUSG00000064367,
ENSMUSG00000064366,
ENSMUSG00000064365,
ENSMUSG00000064364,
ENSMUSG00000064363,
ENSMUSG00000065947,
ENSMUSG00000064361,
ENSMUSG00000064360,
ENSMUSG00000064359,
ENSMUSG00000064358,
ENSMUSG00000064357,
ENSMUSG00000064356,
ENSMUSG00000064355,
ENSMUSG00000064354,
ENSMUSG00000064353,
ENSMUSG00000064352,
ENSMUSG00000064351,
ENSMUSG00000064350,
ENSMUSG00000064349,
ENSMUSG00000064348,
ENSMUSG00000064347,
ENSMUSG00000064346,
ENSMUSG00000064345,
ENSMUSG00000064344,
ENSMUSG00000064343,
ENSMUSG00000064342,
ENSMUSG00000064341,
ENSMUSG00000064340,
ENSMUSG00000064339,
ENSMUSG00000064338,
ENSMUSG00000064337,
ENSMUSG00000064336,
ENSMUSG00000029757,ILMN_2739825
ENSMUSG00000029757,ILMN_2996877
ENSMUSG00000029757,
ENSMUSG00000079941,
ENSMUSG00000053367,
ENSMUSG00000016626,ILMN_2809768
ENSMUSG00000082396,
ENSMUSG00000085426,
ENSMUSG00000037816,ILMN_2615145
ENSMUSG00000037816,
ENSMUSG00000036781,ILMN_2624280
ENSMUSG00000036781,
ENSMUSG00000102721,
ENSMUSG00000087100,
ENSMUSG00000103192,
ENSMUSG00000022519,ILMN_2924619
ENSMUSG00000022519,
ENSMUSG00000083000,
ENSMUSG00000079606,
ENSMUSG00000091443,
ENSMUSG00000068966,
ENSMUSG00000038608,
ENSMUSG00000047473,ILMN_2450096
ENSMUSG00000047473,
ENSMUSG00000038542,ILMN_2776271
ENSMUSG00000038542,
ENSMUSG00000103269,
ENSMUSG00000059912,
ENSMUSG00000070501,
ENSMUSG00000070501,ILMN_3151243
ENSMUSG00000054488,
ENSMUSG00000054488,ILMN_2629080
ENSMUSG00000074547,
ENSMUSG00000025386,ILMN_2590508
ENSMUSG00000083585,
ENSMUSG00000107785,
ENSMUSG00000028145,ILMN_1251524
ENSMUSG00000028145,
ENSMUSG00000024816,ILMN_2716876
ENSMUSG00000024816,
ENSMUSG00000020978,
ENSMUSG00000020978,ILMN_2845272
ENSMUSG00000055373,ILMN_2685821
ENSMUSG00000055373,
ENSMUSG00000081664,
ENSMUSG00000038155,
ENSMUSG00000104222,
ENSMUSG00000106896,
ENSMUSG00000046408,ILMN_2927643
ENSMUSG00000046408,
ENSMUSG00000099869,
ENSMUSG00000104451,
ENSMUSG00000104961,
ENSMUSG00000104806,
ENSMUSG00000030032,ILMN_2755692
ENSMUSG00000030032,
ENSMUSG00000042249,ILMN_1216334
ENSMUSG00000042249,
ENSMUSG00000104185,
ENSMUSG00000071909,ILMN_2945374
ENSMUSG00000039670,ILMN_2680665
ENSMUSG00000103954,
ENSMUSG00000032501,
ENSMUSG00000054252,
ENSMUSG00000054252,ILMN_2590766
